65	113	5468
22	1722	5461
19	1437	5460
27	104	5457
2	735	5457
50	66	5454
2	334	5451
185	878	5444
2	1367	5441
40	238	5438
51	1047	5433
96	453	5428
104	296	5428
13	596	5427
40	61	5424
4	363	5419
51	655	5412
44	313	5410
14	22	5402
8	586	5396
124	423	5396
4	793	5394
20	199	5394
363	1305	5393
127	179	5387
26	437	5385
345	758	5377
10	87	5376
9	170	5375
450	843	5367
16	811	5366
19	238	5364
16	999	5362
8	203	5359
13	418	5357
16	67	5355
4	50	5354
32	407	5352
43	170	5344
1296	1444	5342
4	541	5336
204	1107	5334
6	541	5331
2	1214	5329
19	24	5323
13	1324	5319
81	255	5315
4	485	5314
2	630	5306
51	3545	5301
66	117	5298
3	170	5298
6	661	5298
489	2122	5298
922	1317	5273
2	1408	5268
101	520	5268
173	655	5264
19	113	5260
24	1722	5260
6	692	5259
101	167	5257
25	430	5257
16	1622	5257
58	408	5255
79	256	5251
2	64	5249
2	600	5248
179	308	5235
8	1196	5233
50	394	5228
64	66	5225
113	407	5222
803	1479	5218
131	1338	5206
8	2697	5206
2	758	5205
24	216	5203
238	1609	5202
8	118	5200
9	1035	5194
3	28	5193
6	1242	5190
20	8125	5188
237	845	5186
2	277	5184
8	1383	5183
24	1241	5182
323	347	5180
25	1043	5176
61	793	5175
8	77	5167
12	1535	5165
87	563	5159
6	1035	5159
8	1761	5158
127	1125	5156
1041	1168	5153
27	96	5148
104	474	5148
8	718	5146
62	211	5143
12	1821	5139
35	3120	5138
8	407	5134
15	1494	5132
9	309	5132
113	383	5131
9	231	5127
8	1754	5126
26	145	5123
6	61	5122
187	1642	5115
16	4955	5111
13	1029	5111
2	914	5107
4	450	5102
6	1821	5098
126	253	5090
238	1034	5089
8	33	5087
19	170	5085
2	1188	5076
9	390	5064
39	908	5062
127	3055	5059
80	165	5057
238	692	5056
8	9	5055
